entity,row_number,identifier,reason,details
csv,5,XPV-KLINIK-RVGYAPAY-SIZE1,no_eligible_exact_product_match,RVG | Yapay Zeka Destekli  - Size 1 | price=26000
csv,6,XPV-KLINIK-RVGYAPAY-SIZE15,no_eligible_exact_product_match,RVG | Yapay Zeka Destekli  - Size 1.5 | price=30000
csv,8,VOLD-KLINIK-AIRJETAIR-MAVI,no_eligible_exact_product_match,AirJet Air Flow Başlık - Mavi | price=7500
csv,9,VOLD-KLINIK-AIRJETAIR-TURUNC,no_eligible_exact_product_match,AirJet Air Flow Başlık - Turuncu | price=7500
csv,11,ICRO-PEDO-PCKSET-48LISE,no_eligible_exact_product_match,PÇK Set - 48'li set | price=4000
csv,12,ICRO-PEDO-PCKSET-96LISE,no_eligible_exact_product_match,PÇK Set - 96'lı set | price=8000
csv,24,SG-KARI-NEW101-KIRMIZ,no_eligible_exact_product_match,New 10:1 Mix Tip S141 76.3mm - Kırmızı | price=200
csv,25,SG-KARI-NEW101-MAVI,no_eligible_exact_product_match,New 10:1 Mix Tip S141 76.3mm - Mavi | price=200
csv,26,SG-KARI-AUTOPLUS-025,no_eligible_exact_product_match,Auto Plus Tip Red-Blue S134 | price=400
csv,27,SG-KARI-AUTOPLUS-BLUES1,no_eligible_exact_product_match,Auto Plus Tip - Blue S134 | price=400
csv,28,SG-KARI-AUTOPLUS-027,no_eligible_exact_product_match,Auto Plus Tip Red S134 | price=400
csv,34,SG-KARI-NEWRESIN-LS125,no_eligible_exact_product_match,New Resin Mix Tip (Brown) Taper End - L S125 | price=250
csv,35,SG-KARI-RESINMIX-LONG,no_eligible_exact_product_match,Resin Mix Tip-S  - Long | price=200
csv,36,SG-KARI-RESINMIX-SHORT,no_eligible_exact_product_match,Resin Mix Tip-S  - Short | price=200
csv,39,SG-KARI-NEWCEMENT-LFLATE,no_eligible_exact_product_match,New Cement Tip - L Flat End S128 | price=200
csv,40,SG-KARI-NEWCEMENT-LTAPER,no_eligible_exact_product_match,New Cement Tip - L Taper End S126 | price=200
csv,42,SG-KARI-NEWCEMENT-STAPER,no_eligible_exact_product_match,New Cement Tip - S Taper End S127 | price=200
csv,44,SG-KARI-COREORAL-043,no_eligible_exact_product_match,Core Oral Tip-B S120 | price=200
csv,45,SG-KARI-RESINMIX-LONG1,no_eligible_exact_product_match,Resin Mix Tip (Brown) Taper End  - Long | price=250
csv,46,SG-KARI-RESINMIX-SHORT1,no_eligible_exact_product_match,Resin Mix Tip (Brown) Taper End  - Short | price=250
csv,48,SG-KARI-41CEMENT-LONG,no_eligible_exact_product_match,4:1 Cement Tip Taper End - Long | price=200
csv,49,SG-KARI-41CEMENT-SHORT,no_eligible_exact_product_match,4:1 Cement Tip Taper End - Short | price=200
csv,53,SG-KARI-COREMIX-052,no_eligible_exact_product_match,Core Mix (Brown) S124-A | price=250
csv,54,SG-KARI-RESINMIX-A,no_eligible_exact_product_match,Resin Mix Tip Long (Brown) S125 - A | price=250
csv,55,SG-KARI-ENDOORAL-054,no_eligible_exact_product_match,Endo Oral Tip-L S118 | price=200
csv,61,SG-KARI-COREORAL-060,no_eligible_exact_product_match,Core Oral Tip-Y S119 | price=200
csv,67,SG-KLINIK-MIRRORSUCT-315,no_eligible_exact_product_match,Mirror Suction Ayna Başlık (6 Adet) | price=4000
csv,69,ICRO-PEDO-ICROWNPCK-USTSAG,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,70,ICRO-PEDO-ICROWNPCK-USTSAG1,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,71,ICRO-PEDO-ICROWNPCK-USTSAG2,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,72,ICRO-PEDO-ICROWNPCK-USTSAG3,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,73,ICRO-PEDO-ICROWNPCK-USTSAG4,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,74,ICRO-PEDO-ICROWNPCK-USTSAG5,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,75,ICRO-PEDO-ICROWNPCK-USTSAG6,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,76,ICRO-PEDO-ICROWNPCK-USTSAG7,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,77,ICRO-PEDO-ICROWNPCK-USTSAG8,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,78,ICRO-PEDO-ICROWNPCK-USTSAG9,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,79,ICRO-PEDO-ICROWNPCK-USTSAG10,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,80,ICRO-PEDO-ICROWNPCK-USTSAG11,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ | price=400
csv,81,ICRO-PEDO-ICROWNPCK-USTSOL,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,82,ICRO-PEDO-ICROWNPCK-USTSOL1,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,83,ICRO-PEDO-ICROWNPCK-USTSOL2,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,84,ICRO-PEDO-ICROWNPCK-USTSOL3,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,85,ICRO-PEDO-ICROWNPCK-USTSOL4,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,86,ICRO-PEDO-ICROWNPCK-USTSOL5,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,87,ICRO-PEDO-ICROWNPCK-USTSOL6,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,88,ICRO-PEDO-ICROWNPCK-USTSOL7,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,89,ICRO-PEDO-ICROWNPCK-USTSOL8,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,90,ICRO-PEDO-ICROWNPCK-USTSOL9,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,91,ICRO-PEDO-ICROWNPCK-USTSOL10,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,92,ICRO-PEDO-ICROWNPCK-USTSOL11,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol | price=400
csv,93,ICRO-PEDO-ICROWNPCK-ALTSAG,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,94,ICRO-PEDO-ICROWNPCK-ALTSAG1,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,95,ICRO-PEDO-ICROWNPCK-ALTSAG2,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,96,ICRO-PEDO-ICROWNPCK-ALTSAG3,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,97,ICRO-PEDO-ICROWNPCK-ALTSAG4,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,98,ICRO-PEDO-ICROWNPCK-ALTSAG5,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,99,ICRO-PEDO-ICROWNPCK-ALTSAG6,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,100,ICRO-PEDO-ICROWNPCK-ALTSAG7,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,101,ICRO-PEDO-ICROWNPCK-ALTSAG8,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,102,ICRO-PEDO-ICROWNPCK-ALTSAG9,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,103,ICRO-PEDO-ICROWNPCK-ALTSAG10,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,104,ICRO-PEDO-ICROWNPCK-ALTSAG11,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ | price=400
csv,105,ICRO-PEDO-ICROWNPCK-ALTSOL,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,106,ICRO-PEDO-ICROWNPCK-ALTSOL1,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,107,ICRO-PEDO-ICROWNPCK-ALTSOL2,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,108,ICRO-PEDO-ICROWNPCK-ALTSOL3,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,109,ICRO-PEDO-ICROWNPCK-ALTSOL4,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,110,ICRO-PEDO-ICROWNPCK-ALTSOL5,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,111,ICRO-PEDO-ICROWNPCK-ALTSOL6,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,112,ICRO-PEDO-ICROWNPCK-ALTSOL7,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,113,ICRO-PEDO-ICROWNPCK-ALTSOL8,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,114,ICRO-PEDO-ICROWNPCK-ALTSOL9,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,115,ICRO-PEDO-ICROWNPCK-ALTSOL10,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,116,ICRO-PEDO-ICROWNPCK-ALTSOL11,no_eligible_exact_product_match,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol | price=400
csv,117,SG-PASL-PCKREFILL-SAGUST,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sağ Üst | price=0
csv,118,SG-PASL-PCKREFILL-SAGUST1,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sağ Üst | price=0
csv,119,SG-PASL-PCKREFILL-SOLUST,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sol Üst | price=0
csv,120,SG-PASL-PCKREFILL-SOLUST1,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sol Üst | price=0
csv,121,SG-PASL-PCKREFILL-SAGALT,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sağ Alt | price=0
csv,122,SG-PASL-PCKREFILL-SAGALT1,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sağ Alt | price=0
csv,123,SG-PASL-PCKREFILL-SOLALT,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sol Alt | price=0
csv,124,SG-PASL-PCKREFILL-SOLALT1,no_eligible_exact_product_match,Pçk Refill 5'li Paket - Sol Alt | price=0
csv,125,SG-KARI-YENITIP-434,no_eligible_exact_product_match,Yeni Tip Karıştırma Uçları Paketi | price=0
csv,126,SG-KARI-CIFTSIRING-435,no_eligible_exact_product_match,Çift Şırınga için Yeni Karıştırma Uçları Paketi | price=0
csv,127,SG-KARI-KAPAKTIPI-436,no_eligible_exact_product_match,Kapak Tipi Karıştırma Uçları | price=0
csv,128,SG-KARI-CIFTSIRING-437,no_eligible_exact_product_match,Çift Şırınga İçin Ağız Ucu Paketi | price=0
csv,129,SG-KARI-KARTUSSIST-438,no_eligible_exact_product_match,Kartuş Sistemi İçin Ağız Uçları Paketi | price=0
csv,130,SG-KARI-NEW101-439,no_eligible_exact_product_match,NEW 10:1 MIX TIP S142 | price=200
csv,131,SG-KARI-AUTOPLUS-440,no_eligible_exact_product_match,Auto Plus Makina Ucu | price=0
csv,132,KORO-OLCU-SERTDIS-TYPE41,no_eligible_exact_product_match,Sert Diş Alçısı (Dental Stone) - Type 3 & Type 4 1.5 KG - Korock 20 (Extra Hard - Type 4) 1.5 KG | price=300
csv,133,KORO-OLCU-SERTDIS-TYPE31,no_eligible_exact_product_match,Sert Diş Alçısı (Dental Stone) - Type 3 & Type 4 1.5 KG - Korock 23 (Highly Hard - Type 3) 1.5 KG | price=300
