csv_sku,csv_product_name,csv_price,source_file,match_source,db_variant_code,db_manufacturer_ref,db_product_group_code,old_price,new_price
138.FG.007,JOTA Elmas Frez 138.FG.007 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-138-FG-007,,633180b8-63ac-4309-82a1-8125188d7691,800,1000
558.FG.013,JOTA Elmas Frez 558.FG.013 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-558-FG-013,,8ab029f0-4c82-47e9-9424-70215fd3136e,800,1000
558.FG.015,JOTA Elmas Frez 558.FG.015 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-558-FG-015,,8ab029f0-4c82-47e9-9424-70215fd3136e,800,1000
558F.FG.013,JOTA Elmas Frez 558F.FG.013 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-558-FFG-013,,f0859237-c12d-4559-812b-77c38212373a,800,1000
558F.FG.015,JOTA Elmas Frez 558F.FG.015 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-558-FFG-015,,f0859237-c12d-4559-812b-77c38212373a,800,1000
801.FG.008,JOTA Elmas Frez 801.FG.008 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-008,,5b3ac038-e192-48b4-8486-31489e996a0c,null,775
801.FG.010,JOTA Elmas Frez 801.FG.010 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-010,,5b3ac038-e192-48b4-8486-31489e996a0c,650,775
801.FG.012,JOTA Elmas Frez 801.FG.012 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-012,,5b3ac038-e192-48b4-8486-31489e996a0c,650,775
801.FG.014,JOTA Elmas Frez 801.FG.014 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-014,,5b3ac038-e192-48b4-8486-31489e996a0c,650,775
801.FG.016,JOTA Elmas Frez 801.FG.016 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-016,,5b3ac038-e192-48b4-8486-31489e996a0c,650,775
801.FG.018,JOTA Elmas Frez 801.FG.018 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-018,,5b3ac038-e192-48b4-8486-31489e996a0c,650,775
801.FG.021,JOTA Elmas Frez 801.FG.021 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-021,,5b3ac038-e192-48b4-8486-31489e996a0c,null,1000
801.FG.023,JOTA Elmas Frez 801.FG.023 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-FG-023,,5b3ac038-e192-48b4-8486-31489e996a0c,650,1000
801G.FG.010,JOTA Elmas Frez 801G.FG.010 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-010,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,775
801G.FG.012,JOTA Elmas Frez 801G.FG.012 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-012,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,775
801G.FG.014,JOTA Elmas Frez 801G.FG.014 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-014,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,775
801G.FG.016,JOTA Elmas Frez 801G.FG.016 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-016,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,775
801G.FG.018,JOTA Elmas Frez 801G.FG.018 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-018,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,775
801G.FG.021,JOTA Elmas Frez 801G.FG.021 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-021,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,1000
801G.FG.023,JOTA Elmas Frez 801G.FG.023 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801-GFG-023,,69357413-a39f-4f2b-bb6c-0947f76c6990,650,1000
801L.FG.012,JOTA Elmas Frez 801L.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801L-FG-012,,27acff7b-cdae-4822-be8e-f2291f30d3f1,800,1000
801L.FG.014,JOTA Elmas Frez 801L.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801L-FG-014,,27acff7b-cdae-4822-be8e-f2291f30d3f1,800,1000
801L.FG.016,JOTA Elmas Frez 801L.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-801L-FG-016,,27acff7b-cdae-4822-be8e-f2291f30d3f1,800,1000
