target_type,product_id,variant_id,family_key,current_image_url,new_image_path_or_url,notes
family,eb04e6ff-4492-4ed1-927b-3d7227985929,,jota-z801l-zirkonya,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/987a37fc-6ffe-4578-9dae-3a97ebe750dc/image_1950.webp,public/product-images/standardized/jota-z801l-family.webp,pending asset preparation; priority 1; Jota Z801L Zirkonya Elmas Frez
family,d0ab93fe-3bb9-49cc-a1e6-d8735a03750e,,jota-z818-zirkonya,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/22f6f9b0-1ce6-42cd-a53e-c717d4b6b24c/image_1950.webp,public/product-images/standardized/jota-z818-family.webp,pending asset preparation; priority 2; Jota Z818 Zirkonya Elmas Frez
family,28d3c8e3-0597-4648-baca-eae5d3f8cabc,,jota-z850-zirkonya,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d96413a6-a46d-490b-b968-ff9230732508/image_1950.webp,public/product-images/standardized/jota-z850-family.webp,pending asset preparation; priority 3; Jota Z850 Zirkonya Elmas Frez
family,8456358d-2455-4514-9d1d-dfc281b54f86,,jota-881,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/139ce71a-41cc-4316-9193-d722f08b8bf2/image_1950.webp,public/product-images/standardized/jota-881-family.webp,pending asset preparation; priority 4; Jota 881F Elmas Frez
family,86603b72-74bb-4377-aa0a-04620f2a1350,,jota-881,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/244ef5ed-52d3-4431-9690-3d84e27b1d85/image_1950.webp,public/product-images/standardized/jota-881-family.webp,pending asset preparation; priority 5; Jota 881SG Elmas Frez
variant,eb04e6ff-4492-4ed1-927b-3d7227985929,2d9be36e-7a3f-470d-b755-0b5ff234136a,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/987a37fc-6ffe-4578-9dae-3a97ebe750dc/image_1950.webp,public/product-images/standardized/jota-z801l-blue-elmas-frez.webp,pending asset preparation; priority 6; Jota Z801L variant image
variant,d0ab93fe-3bb9-49cc-a1e6-d8735a03750e,9aca7a58-f546-4c12-acce-4ff4ead2caa3,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/22f6f9b0-1ce6-42cd-a53e-c717d4b6b24c/image_1950.webp,public/product-images/standardized/jota-z818-blue-elmas-frez.webp,pending asset preparation; priority 7; Jota Z818 variant image
variant,28d3c8e3-0597-4648-baca-eae5d3f8cabc,9ea378c3-9148-42b4-9cad-5a7dd47c1c89,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d96413a6-a46d-490b-b968-ff9230732508/image_1950.webp,public/product-images/standardized/jota-z850-blue-elmas-frez.webp,pending asset preparation; priority 8; Jota Z850 variant image
variant,8456358d-2455-4514-9d1d-dfc281b54f86,8b92b0b2-816d-4a30-95b8-a925df08f09d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/139ce71a-41cc-4316-9193-d722f08b8bf2/image_1950.webp,public/product-images/standardized/jota-881-f-elmas-frez.webp,pending asset preparation; priority 9; Jota 881F variant image
variant,86603b72-74bb-4377-aa0a-04620f2a1350,a1c6a784-e008-4518-ac0f-e6de6906abb5,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/244ef5ed-52d3-4431-9690-3d84e27b1d85/image_1950.webp,public/product-images/standardized/jota-881-sg-black-elmas-frez.webp,pending asset preparation; priority 10; Jota 881SG variant image
product,6048141c-29c2-4e9b-bb7a-f5369bcb9979,,,,public/product-images/standardized/jota-z850-zirkonya-elmas-frez-elmas-frez.webp,pending asset preparation; priority 11; missing Z850 product image
family,bd26cf76-7321-4889-93bb-d4d7cbdda81f,,jota-558,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/926f9bdc-9ee6-48c7-8ba6-7761d1d53adb/image_1950.webp,public/product-images/standardized/jota-558-family.webp,pending asset preparation; priority 12; Jota 558 family image
family,0da0e71a-9791-4c9a-953f-55960f7e8d99,,jota-558,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/fd2d7891-7dc7-40c1-8316-adb581d15e93/image_1950.webp,public/product-images/standardized/jota-558-family.webp,pending asset preparation; priority 13; Jota 558F family image
family,dfbc8551-8357-426c-a03e-2485a0e48074,,jota-834,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/15dcb609-9be9-41b8-9699-2871a4c0b85d/image_1950.webp,public/product-images/standardized/jota-834-family.webp,pending asset preparation; priority 14; Jota 834 family image
family,2c274b4c-2f17-4d0d-a843-e2196770e31e,,jota-837l,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/ffe061c1-d761-4410-a06c-71ee49372ee9/image_1950.webp,public/product-images/standardized/jota-837l-family.webp,pending asset preparation; priority 15; Jota 837L family image
family,ff65797d-1f71-4f51-8723-2597f5198219,,jota-850,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/c5daa154-7eb5-4085-add8-73cbecfe16ca/image_1950.webp,public/product-images/standardized/jota-850-family.webp,pending asset preparation; priority 16; Jota 850 family image
family,fbf133ea-c893-4a3b-84be-6c4fd077bdec,,jota-850,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f793987f-cb82-422b-bfd8-2c9d17df3b38/image_1950.webp,public/product-images/standardized/jota-850-family.webp,pending asset preparation; priority 17; Jota 850F family image
family,4f97398b-03b4-472f-8842-a09bca102345,,jota-850,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/28a1913b-ac9f-4a29-8de8-c049f4db287d/image_1950.webp,public/product-images/standardized/jota-850-family.webp,pending asset preparation; priority 18; Jota 850G family image
family,499f5d8e-7606-46a2-9066-206ed3252f82,,jota-852,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5d90dfdb-6994-4026-a08c-8a14c4c2cc6d/image_1950.webp,public/product-images/standardized/jota-852-family.webp,pending asset preparation; priority 19; Jota 852 family image
family,f72c6590-f4d9-4eb7-9fdd-5efa26af1633,,jota-859e,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/90b5b082-421b-4ecf-b619-9f9ff89da966/image_1950.webp,public/product-images/standardized/jota-859e-family.webp,pending asset preparation; priority 20; Jota 859E family image
