variant_id,product_id,product_name,current_sku,possible_reference_sku,possible_reference_name,reason,notes
caa8a0b7-dcfc-4afa-a6b8-d9446f3ab8e1,8bdc45ac-c7a6-4ace-962f-d3229721db22,Jota GP662 Glaze Prep Zirkonya & Seramik Ayar Frezi,ccc3df0a-8f9a-4818-9c04-c84b11d85a41,JOT-GP662-RA-ARK,Jota GP662 Glaze Prep Zirkonya & Seramik Ayar Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
2b241fcb-0014-4579-a987-137d6e3d5cbc,a98dc42b-5fc3-4469-9a9d-3236471bbd5f,Jota SD661F Diamond Stone Seramik Ayar Taşı,b5f07714-6068-4a80-822c-bb8ccd062c6e,JOT-SD661f-RA-CER,Jota SD661F Diamond Stone Seramik Ayar Taşı,possible_match,Reference candidate exists but confidence is below safe apply threshold.
4b656bd4-44e2-4320-abe0-e92306a7494d,38d9fd53-0d40-407c-a331-fac38f98dce0,Jota 645 Arkansas Ön Polisaj Frezi,JOT-645-FG-028,JOT-645-RA-ARK,Jota 645 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
96125525-4cb4-4647-bdda-6b14bc4d7407,afbecf69-5412-451d-a5f3-9ff21c29a52c,Jota 863F Elmas Frez - Kırmızı Kuşak (İnce) Alev / Uzun Konik Finishing Frezi,JOT-863-FFG-012,JOT-852-FFG-012,Jota 852F Elmas Frez - Kırmızı Kuşak (İnce) İğne / İnce Konik Finishing Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
375519de-84ea-4c95-bf90-9c805100c5e0,e3266383-b552-4fcc-8fe8-2b7eb1b849bf,Jota 9501F Metal Cilalama Ucu (Polisher) - Step 3,JOT-9501-FRA-030,JOT-9501F-RA-POL,Jota 9501F Metal Cilalama Ucu (Polisher) - Step 3,possible_match,Reference candidate exists but confidence is below safe apply threshold.
26cc92a2-c7cd-47d5-a75c-2b30d644cdfc,97015eb2-cb7e-4e18-8f00-81fb99071cc0,Jota 6198 Arkansas Ön Polisaj Frezi,JOT-6198-FG-023,JOT-6198-RA-ARK,Jota 6198 Arkansas Ön Polisaj Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
c23cb24a-2cb4-4747-bc1b-9caaeebfcffc,02681310-8169-48db-b223-b17a9b4589ab,868 Elmas Frez Paketi,566160dd-46f4-4ef6-ad86-4330703b1138,,,no_match,No authoritative reference candidate found.
43fe662d-2117-4161-8b42-c3b2ac27f0ec,5b36ab8a-58f7-4f76-b90b-db0128b40a76,CQ1 Karbit Frez,JOTA-CQ1-FG-010,JOT-801-FG-010,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
9c88c359-53da-4e52-b7c3-895f8dfc6ab3,6048141c-29c2-4e9b-bb7a-f5369bcb9979,Z850 Zirkonya Elmas Frez,JOT-Z850-FG-016,JOT-801-FG-016,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,possible_match,Reference candidate exists but confidence is below safe apply threshold.
c4eecdd3-2907-49cb-b383-1d53310b3e8f,dc02b343-fdcb-42e1-a51d-ff8695c912ab,LS9873F Polisaj Frezi,JOTA-LS9873F-RA,JOT-LS9873F-RA-POL,Jota LS9873F Lityum Disilikat Cilalama Ucu (Polisher) - Step 2,possible_match,Reference candidate exists but confidence is below safe apply threshold.
