target_sku,conflict_type,product_id,product_name,variant_id,current_sku,proposed_sku,model,shaft,diameter,source_fields_used,reason,recommended_fix
JOT-9813-RA-060,duplicate_target_in_batch,eb5a513a-36f4-488b-aa71-2e74cc0dbafd,Jota 9813G Seramik Cilalama Ucu (Polisher) - Step 1,8fcd927e-f012-4fbb-bec4-025b4669302f,4b54a96b-1e3d-479b-9992-6b7054ae093f,JOT-9813-RA-060,9813,RA,060,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-801-FG-008,duplicate_target_in_batch,7a8be6b1-917e-4507-9a0b-08042bfb124b,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,9d172e33-8798-4146-b071-fb48e36a900d,5a1f73d9-a830-4082-95e2-3f6813ae0433,JOT-801-FG-008,801,FG,008,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9813-RA-060,duplicate_target_in_batch,409370c2-778a-4ed3-89e9-b9506480cf79,Jota 9813F Seramik Cilalama Ucu (Polisher) - Step 3,a52ebd4b-77bf-4746-a9f9-c49d0012cb61,5e25fb1f-e5ee-49a4-8c20-3e56e1ee7cc6,JOT-9813-RA-060,9813,RA,060,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-859L-FG-012,duplicate_target_in_batch,c0e0bad7-7773-415f-8ca7-eff9a89245d3,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,1731abc0-669e-4d96-a313-cc111fd8473d,6429000a-2371-498d-8404-6d9bb192a49e,JOT-859L-FG-012,859L,FG,012,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9805-RA-014,duplicate_target_in_batch,3a132d25-9bad-4a13-b6ab-4f164ad14dc8,Jota 9805G Seramik Cilalama Ucu (Polisher) - Step 1,94be1dc0-3c41-47c2-86b5-bab8a5c9b7a0,67ad514a-b79f-4e76-a6b8-ea699a1be5ab,JOT-9805-RA-014,9805,RA,014,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9501-RA-030,duplicate_target_in_batch,e8045018-43ae-4e60-99bb-7fab4404f594,Jota 9501G Metal Cilalama Ucu (Polisher) - Step 1,ef9d9d7f-7bec-4ad4-bfd5-47f1532e05c9,68372ceb-99f9-47af-8919-71cd272a702e,JOT-9501-RA-030,9501,RA,030,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9812-RA-040,duplicate_target_in_batch,3ec52d6a-9a7a-4535-970c-f370979bf491,Jota 9812F Seramik Cilalama Ucu (Polisher) - Step 3,2853878d-2990-4b40-9908-fd278e7177b3,6aa7b674-9322-4407-8822-705721a284e4,JOT-9812-RA-040,9812,RA,040,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9805-RA-014,duplicate_target_in_batch,57012510-e0a7-44fd-9740-0ac33908eb79,Jota 9805F Seramik Cilalama Ucu (Polisher) - Step 3,eb0530ba-03e1-450c-a38d-6c27d0dece4f,95beadfd-0bed-4a30-a18b-109f27ca8612,JOT-9805-RA-014,9805,RA,014,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-9812-RA-040,duplicate_target_in_batch,3e451217-459a-4dab-a760-d283ce2a6f23,Jota 9812G Seramik Cilalama Ucu (Polisher) - Step 1,a18d12dc-95a4-48f5-bc72-70e9cee9e4ec,a50d2c54-b945-44cd-b885-a018c62b6454,JOT-9812-RA-040,9812,RA,040,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
JOT-801-FG-014,duplicate_target_in_batch,7a8be6b1-917e-4507-9a0b-08042bfb124b,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,f94786d2-6ea6-41bb-9883-c26a0a58ee4b,d03dd80c-2b5d-4897-b6ef-85a7427e3e0f,JOT-801-FG-014,801,FG,014,product_name.model|connection_type|diameter,duplicate_target_in_batch,Inspect same proposed SKU rows; confirm true duplicate variant or add a distinguishing source field before apply.
