priority,product_id,product_name,variant_id,sku / variant_code,current_image_url,issue_type,grouped_family_key,recommended_asset_name,recommended_action
1,eb04e6ff-4492-4ed1-927b-3d7227985929,Jota Z801L Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Uzun Boyunlu Yuvarlak Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/987a37fc-6ffe-4578-9dae-3a97ebe750dc/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z801l-zirkonya,jota-z801l-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
2,d0ab93fe-3bb9-49cc-a1e6-d8735a03750e,Jota Z818 Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Disk Form Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/22f6f9b0-1ce6-42cd-a53e-c717d4b6b24c/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z818-zirkonya,jota-z818-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
3,28d3c8e3-0597-4648-baca-eae5d3f8cabc,Jota Z850 Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya İnce Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d96413a6-a46d-490b-b968-ff9230732508/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z850-zirkonya,jota-z850-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
4,8456358d-2455-4514-9d1d-dfc281b54f86,Jota 881F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Düz Uç Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/139ce71a-41cc-4316-9193-d722f08b8bf2/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881f, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
5,86603b72-74bb-4377-aa0a-04620f2a1350,Jota 881SG Elmas Frez - Siyah Kuşak (Süper Kaba) Silindirik Düz Uç Agresif Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/244ef5ed-52d3-4431-9690-3d84e27b1d85/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-family.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881sg, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
6,eb04e6ff-4492-4ed1-927b-3d7227985929,Jota Z801L Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Uzun Boyunlu Yuvarlak Genel Preparasyon Frezi,2d9be36e-7a3f-470d-b755-0b5ff234136a,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/987a37fc-6ffe-4578-9dae-3a97ebe750dc/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z801l-zirkonya,jota-z801l-blue-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
7,d0ab93fe-3bb9-49cc-a1e6-d8735a03750e,Jota Z818 Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya Disk Form Genel Preparasyon Frezi,9aca7a58-f546-4c12-acce-4ff4ead2caa3,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/22f6f9b0-1ce6-42cd-a53e-c717d4b6b24c/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z818-zirkonya,jota-z818-blue-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
8,28d3c8e3-0597-4648-baca-eae5d3f8cabc,Jota Z850 Zirkonya Elmas Frez - Mavi Kuşak (Standard) Zirkonya İnce Konik Genel Preparasyon Frezi,9ea378c3-9148-42b4-9cad-5a7dd47c1c89,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d96413a6-a46d-490b-b968-ff9230732508/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-z850-zirkonya,jota-z850-blue-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: zirkonya, elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
9,8456358d-2455-4514-9d1d-dfc281b54f86,Jota 881F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Düz Uç Finishing Frezi,8b92b0b2-816d-4a30-95b8-a925df08f09d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/139ce71a-41cc-4316-9193-d722f08b8bf2/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-f-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881f, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
10,86603b72-74bb-4377-aa0a-04620f2a1350,Jota 881SG Elmas Frez - Siyah Kuşak (Süper Kaba) Silindirik Düz Uç Agresif Preparasyon Frezi,a1c6a784-e008-4518-ac0f-e6de6906abb5,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/244ef5ed-52d3-4431-9690-3d84e27b1d85/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-881,jota-881-sg-black-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, 881sg, elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family"
